total_confirmed,total_deaths,total_recoveries,total_active
80629340,1840235,45425321,33363784
81042534,1848389,45717709,33476436
81541719,1857935,46016135,33667649
82213594,1872872,46369230,33971492
82938894,1888314,46757475,34293105
83778622,1901777,47055807,34821038
84342314,1911418,47359111,35071785
84946690,1920880,47614296,35411514
85467020,1928820,47882778,35655422
86024461,1938770,48173186,35912505
86765351,1954189,48488547,36322615
87556264,1969110,48801672,36785482
88426222,1984073,49125603,37316546
89261637,1999363,49422866,37839408
90017904,2012679,49753111,38252114
90619443,2022236,50023661,38573546
91233917,2032515,50313949,38887453
91926453,2049477,50657506,39219470
92669726,2065943,51023567,39580216
93428784,2081663,51396412,39950709
94212637,2097380,51717034,40398223
94869509,2111413,52034089,40724007
95397119,2121283,52349804,40926032
95914366,2131731,52668557,41114078
96507148,2147411,53071501,41288236
97194354,2165160,53399272,41629922
97863110,2182453,53765411,41915246
98526596,2198512,54147168,42180916
99103312,2213077,54463661,42426574
99565294,2222839,54774618,42567837
100046846,2233981,55089059,42723806
100608158,2251396,55418602,42938160
101209122,2268312,55759371,43181439
101824237,2284838,56075030,43464369
102413219,2300601,56439137,43673481
102928083,2313886,56790303,43823894
103324692,2323435,57079202,43922055
103767694,2333683,57351844,44082167
104233148,2348540,57702034,44182574
104758397,2364399,58031881,44362117
105230171,2377326,58325870,44526975
105766676,2394507,58607157,44765012
106201874,2406362,58901714,44893798
106553422,2414130,59179149,44960143
106893339,2423690,59411983,45057666
107300629,2438420,59783591,45078618
107741093,2452277,60052899,45235917
108184860,2466147,60328984,45389729
108614449,2479026,60616583,45518840
108994937,2489712,60862826,45642399
109303582,2496818,61058257,45748507
109584404,2504635,61346870,45732899
109944197,2515738,61582275,45846184
110330576,2527093,61876216,45927267
110741376,2539082,62112834,46089460
111151038,2550740,62347470,46252828
111526248,2559836,62616686,46349726
111845811,2566627,62833943,46445241
112141380,2573874,63016513,46550993
112534122,2585355,63295143,46653624
112979052,2597797,63504602,46876653
113432016,2608800,63732294,47090922
113873956,2619349,63992562,47262045
114270693,2628079,64243284,47399330
114578478,2634579,64418461,47525438
114883979,2642087,64633387,47608505
115197242,2652344,64903491,47641407
115639088,2663901,65132899,47842288
116097496,2674306,65383179,48040011
116546593,2684847,65609539,48252207
116960620,2693104,65846042,48421474
117335064,2699185,66084362,48551517
117640533,2706378,66358920,48575235
118054577,2716871,66621153,48716553
118513444,2727028,66856509,48929907
119003124,2737241,67129126,49136757
119492372,2747105,67397682,49347585
119947968,2755757,67650214,49541997
120313043,2761748,67895902,49655393
120667127,2769255,68185781,49712091
121134161,2779868,68452266,49902027
121679877,2790458,68716802,50172617
122227806,2801179,68985878,50440749
122790345,2811995,69264939,50713411
123288792,2820738,69523150,50944904
123729261,2829290,69803249,51096722
124150452,2837256,70137878,51175318
124656291,2848741,70451020,51356530
125285990,2859349,70786662,51639979
125938183,2870902,71098479,51968802
126578225,2883671,71463065,52231489
127162758,2893881,71768318,52500559
127655412,2901166,72097106,52657140
128114688,2909829,72401542,52803317
128676894,2921730,72736785,53018379
129350790,2934661,73119294,53296835
130060609,2946963,73464080,53649566
130705394,2957615,73784287,53963492
131245744,2966954,74150288,54128502
131805666,2974382,74498476,54332808
132302655,2982636,74846289,54473730
132910149,2995089,75216285,54698775
133573288,3010448,75699590,54863250
134409344,3024749,76094849,55289746
135156662,3039094,76548562,55569006
135827306,3052100,76933556,55841650
136536918,3061223,77464028,56011667
137150764,3071131,77858760,56220873
137914588,3084925,78345222,56484441
138725902,3099015,78792112,56834775
139547133,3112671,79236514,57197948
140406983,3126051,79740631,57540301
141200970,3138668,80259167,57803135
141901080,3147807,80839358,57913915
142592012,3158941,81374733,58058338
143431609,3173235,81979570,58278804
144320851,3187988,82491870,58640993
145220252,3201909,83128166,58890177
146127911,3217170,83767998,59142743
146952141,3230302,84344289,59377550
147680627,3241075,84878103,59561449
148369677,3252705,85565469,59551503
149208799,3267706,86246373,59694720
150107590,3283651,86843038,59980901
151001625,3299390,87550354,60151881
151892994,3313809,88236950,60342235
152687904,3326848,88919400,60441656
153375175,3337179,89612414,60425582
154065632,3348864,90255903,60460865
154850588,3362923,90912803,60574862
155692589,3377827,91626285,60688477
156565435,3392403,92301897,60871135
157400261,3406868,92998026,60995367
158188559,3420197,93709031,61059331
158837968,3430671,94371824,61035473
159463612,3441763,95000510,61021339
160189411,3455934,95751514,60981963
160956898,3470075,96399063,61087760
161691597,3483510,97089180,61118907
162401162,3496538,97754527,61150097
163032774,3508823,98397064,61126887
163579396,3519124,99064468,60995804
164122938,3530454,99808930,60783554
164742576,3544530,100552043,60646003
165414621,3557987,101250070,60606564
165696927,3571167,101886759,60239001
166323402,3584143,102501547,60237712
166895763,3595588,103118308,60181867
167377386,3605452,103620279,60151655
167828464,3614598,104247871,59965995
168361871,3627580,104824934,59909357
168930299,3640387,105380747,59909165
169477196,3653327,106078105,59745764
169982707,3665348,106633068,59684291
170463127,3676155,107140668,59646304
170853074,3684555,107630597,59537922
171240130,3693252,108159766,59387112
171700134,3708466,108743649,59248019
172187762,3720392,109272023,59195347
172668261,3730550,109701213,59236498
173093152,3741209,110226715,59125228
173489803,3750622,110704845,59034336
173812784,3757928,111146371,58908485
174134551,3766003,111568368,58800180
174504668,3776657,111983104,58744907
174922960,3786840,112435799,58700321
175376464,3802820,112849488,58724156
175798501,3814560,113225020,58758921
176166881,3824370,113563994,58778517
176469682,3833641,113993655,58642386
176778984,3841632,114340429,58596923
177153741,3852383,114800574,58500784
177542916,3862466,115149801,58530649
177938911,3871765,115530279,58536867
178342418,3880958,115849842,58611618
178689716,3889039,116181692,58618985
178994480,3895907,116446786,58651787
179291135,3902891,116804004,58584240
179701349,3911876,117107408,58682065
180097972,3921222,117507151,58669599
180507231,3929883,117796862,58780486
180924899,3939117,118125509,58860273
181287796,3946659,118420068,58921069
181599032,3952754,118678807,58967471
181932050,3959315,119006263,58966472
182313258,3967474,119299679,59046105
182712726,3976679,119580620,59155427
183148268,3985220,120008476,59154572
183590610,3993596,120299518,59297496
183964437,4000499,120569293,59394645
184292181,4007139,120868181,59416861
184670098,4014530,121235174,59420394
185120629,4023012,121563017,59534600
185585871,4031566,121831180,59723125
186067750,4040486,122123831,59903433
186580986,4048903,122462949,60069134
187002099,4055467,122907153,60039479
187371991,4063098,123197639,60111254
187806155,4071240,123499875,60235040
188331814,4079621,123783322,60468871
188869796,4088212,124113063,60668521
189446223,4096847,124394119,60955257
190042161,4105608,124784824,61151729
190531011,4113118,125065613,61352280
190951220,4119721,125382096,61449403
191440687,4126947,125688817,61624923
191973106,4147646,126008997,61816463
192529214,4156313,126315580,62057321
193094403,4165094,126671708,62257601
193822543,4173425,126918098,62731020
194254462,4182089,127435324,62637049
194700076,4189471,127762741,62747864
195240703,4197977,128063201,62979525
195847033,4207766,128409040,63230227
196497116,4217888,128745703,63533525
197139985,4228154,129094091,63817740
197872339,4237757,129401282,64233300
198389684,4246601,129705211,64437872
198872752,4254020,129994389,64624343
199443855,4262171,130277533,64904151
200078130,4272524,130582001,65223605
200758588,4283016,130899061,65576511
